Code,Title,Version,Credits
CFOC101M,Advanced Green Manufacturing Systems,1,3
CFOC102M,Introduction to Cognitive Psychology,1,3
CFOC103M,Introduction to Political Theory,1,3
CFOC104M,Six Sigma,1,3
CFOC105M,Emotional Intelligence,1,2
CFOC106M,Manufacturing Strategy,1,2
CFOC107M,Supply Chain Analytics,1,2
CFOC108M,Systems Engineering: Theory and Practice,1,2
CFOC109M,Design Thinking - A Primer,1,1
CFOC110M,MCDM Techniques Using R and MATLAB,1,1
CFOC111M,Perspectives on Neurolinguistic,1,1
CFOC112M,Sociology of Science,1,1
CFOC113M,Contemporary Themes in India’s Economic Development and Economic Survey,1,3
CFOC114M,Problem Solving through Programming in C,1,3
CFOC115M,Design and Analysis of Algorithms,1,2
CFOC116M,Computer Vision,1,3
CFOC117M,Spatial Informatics,1,2
CFOC118M,Practical Machine Learning with Tensorflow,1,2
CFOC119M,Training of Trainers,1,3
CFOC120M,Knowledge Management,1,2
CFOC121M,Leadership,1,1
CFOC122M,Educational Leadership,1,2
CFOC122M,Educational Leadership,2,3
CFOC123M,Cost Accounting,1,1
CFOC124M,"Practitioners Course In Descriptive, Predictive and Prescriptive Analytics",1,2
CFOC125M,Decision-Making Under Uncertainty,1,1
CFOC126M,Data Analysis and Decision Making - III,1,3
CFOC127M,Business Analytics and Data Mining Modeling Using R Part II,1,1
CFOC128M,Business Analytics and Text Mining Modeling Using Python,1,2
CFOC129M,Economics of Health and Health Care,1,2
CFOC130M,Human Resource Development,1,3
CFOC131M,Performance and Reward Management,1,3
CFOC132M,Corporate Social Responsibility,1,2
CFOC133M,E-Business,1,3
CFOC134M,"Innovation, Business Models and Entrepreneurship",1,2
CFOC135M,The Ethical Corporation,1,2
CFOC136M,Toyota Production System,1,2
CFOC137M,Intellectual Property Rights and Competition Law,1,2
CFOC138M,Patent Search for Engineers and Lawyers,1,2
CFOC139M,Role of Craft and Technology in Interior - Architecture,1,2
CFOC140M,Glass In Buildings : Design And Applications,1,3
CFOC141M,Visual Perception and Art: A Survey Across the Cultures,1,1
CFOC142M,Mapping Signal Processing Algorithms to Architectures,1,3
CFOC143M,Introduction to Computer Vision,1,3
CFOC144M,"Op-Amp Practical Applications: Design, Simulation and Implementation",1,3
CFOC145M,Fabrication Techniques for MEMs - based sensors: clinical Perspective,1,3
CFOC146M,Linear System Theory,1,3
CFOC148M,Introduction to Wireless and Cellular Communications,1,3
CFOC149M,Digital Switching - I,1,2
CFOC150M,Microelectronics: Devices To Circuits,1,3
CFOC151M,Digital Image Processing,1,3
CFOC152M,Pattern Recognition and Application,1,3
CFOC153M,Microwave Theory and Techniques,1,3
CFOC154M,Principles and Techniques of Modern Radar Systems,1,3
CFOC155M,Computational Electromagnetics,1,3
CFOC156M,Microwave Engineering,1,3
CFOC157M,Introduction to parallel Programming in Open MP,1,1
CFOC157M,Introduction to parallel Programming in Open MP,2,2
CFOC158M,Reinforcement Learning,1,3
CFOC159M,Applied Natural Language Processing,1,3
CFOC160M,Python for Data Science,1,1
CFOC161M,Data Science for Engineers,1,2
CFOC162M,Scalable Data Science,1,2
CFOC163M,Advanced Computer Architecture,1,2
CFOC164M,Software Project Management,1,3
CFOC165M,Software testing,1,3
CFOC166M,Hardware Modeling using Verilog,1,2
CFOC167M,Synthesis of Digital Systems,1,3
CFOC168M,Switching Circuits and Logic Design,1,3
CFOC169M,Demystifying networking,1,1
CFOC170M,Modern Algebra,1,2
CFOC171M,Introduction to Haskell Programming,1,2
CFOC171M,Introduction to Haskell Programming,2,3
CFOC172M,Flow through Porous Media,1,3
CFOC173M,Bioenergy,1,2
CFOC174M,Introduction to Biostatistics,1,2
CFOC175M,Nanotechnology in Agriculture,1,2
CFOC176M,Computer Aided Drug Design,1,2
CFOC177M,Drug Delivery: Principles and Engineering,1,3
CFOC178M,Functional Genomics,1,1
CFOC179M,Introduction to Proteogenomics,1,3
CFOC180M,Introduction to Mechanobiology,1,2
CFOC181M,WildLife Conservation,1,2
CFOC182M,Organic Chemistry in Biology and Drug Development,1,3
CFOC183M,Bioinorganic Chemistry,1,1
CFOC184M,Spectroscopic Techniques for Pharmaceutical and Biopharmaceutical Industries,1,3
CFOC185M,Biophysical chemistry,1,3
CFOC186M,Deep Learning,1,3
CFOC187M,Blockchain Architecture Design and use Cases,1,3
CFOC188M,Ethical Hacking,1,3
CFOC189M,Organic Farming for Sustainable Agricultural Production,1,2
CFOC190M,Positive Psychology,1,2
CFOC191M,Forests and their Management,1,3
CFOC192M,Forest Biometry,1,2
CFOC193M,Bioengineering: An Interface with Biology and Medicine,1,2
CFOC194M,Human Molecular Genetics,1,1
CFOC195M,Bioenergetics of Life Processes,1,1
CFOC196M,Computational Systems Biology,1,3
CFOC197M,Bio-Informatics: Algorithms and Applications,1,3
CFOC198M,Biostatistics and Design of Experiments,1,2
CFOC199M,Medical Biomaterials,1,2
CFOC200M,Demystifying the Brain,1,1
CFOC201M,Principles and Applications of NMR Spectroscopy,1,2
CFOC202M,Cell Culture Technologies,1,2
CFOC203M,Natural Hazards,1,2
CFOC204M,Modern Construction Materials,1,3
CFOC205M,"Energy Efficiency, Acoustics and Daylighting in Building",1,3
CFOC206M,"Fire Protection, Services and Maintenance Management of Building",1,3
CFOC207M,Electronic Waste Management - Issues And Challenges,1,1
CFOC208M,Higher Surveying,1,3
CFOC209M,Environmental Remediation of Contaminated Sites,1,3
CFOC210M,Soil Structure Interaction,1,3
CFOC211M,Introduction to Accounting and Finance for Civil Engineers,1,2
CFOC212M,Scheduling Techniques in Projects,1,1
CFOC213M,GPS Surveying,1,1
CFOC214M,Sustainable Materials and Green Buildings,1,3
CFOC215M,Geomorphic Processes: Landforms and Landscapes,1,2
CFOC216M,Introduction To Process Modeling in the Membrane Separation Process,1,1
CFOC217M,Computational Geometry,1,3
CFOC218M,Compiler Design,1,3
CFOC219M,Embedded System Design with ARM,1,2
CFOC220M,VLSI Physical Design,1,3
CFOC221M,Cloud computing,1,2
CFOC221M,Cloud Computing,2,3
CFOC222M,Artificial Intelligence : Knowledge Representation And Reasoning,1,3
CFOC223M,Privacy and Security in Online Social Media,1,2
CFOC224M,Information Security - 5 - Secure Systems Engineering,1,2
CFOC225M,Model Checking,1,3
CFOC226M,Randomized Algorithms,1,3
CFOC227M,GPU Architectures and Programming,1,3
CFOC228M,Multi-Core Computer Architecture - Storage and Interconnects,1,2
CFOC229M,Data Analytics with Python,1,3
CFOC230M,Arithmetic Circuit Complexity,1,3
CFOC231M,Google Cloud Computing Foundation Course,1,2
CFOC232M,Consumer Behaviour,1,2
CFOC233M,Enhancing Soft Skills and Personality,1,2
CFOC234M,Introduction to Airplane Performance,1,2
CFOC235M,Rocket Propulsion,1,3
CFOC236M,Aircraft Maintenance,1,1
CFOC237M,Sustainable Architecture,1,3
CFOC238M,Introduction to History of Architecture in India,1,1
CFOC239M,"Structure, Form, and Architecture : The Synergy",1,2
CFOC240M,Interactomics : Basics and Applications,1,3
CFOC241M,Introduction to Professional Scientific Communication,1,1
CFOC242M,Material and Energy Balances,1,3
CFOC243M,Thermodynamics for Biological Systems: Classical and Statistical Aspect,1,3
CFOC245M,Fundamentals of Semiconductor Devices,1,3
CFOC246M,Characterization of Construction Materials,1,3
CFOC247M,Introduction to Civil Engineering Profession,1,2
CFOC248M,Environmental Geomechanics,1,3
CFOC249M,Mechanical Characterization of Bituminous Materials,1,3
